Employee_ID,Employee_Name,Gender,Age,Date_of_Joining,Years_at_Company,Monthly_Income,Annual_Income,Department,Job_Role,Position,Employment_Type,Work_Location,State,City,Distance_from_Home,Education_Level,Education_Field,Caste/Religion,Marital_Status,Performance_Score,Last_3_Year_Rating,Attrition_Status,Attrition_Reason,Attrition_Date,Onboarding_Status,New_Hires_Joining_Month,Environment_Satisfaction,Employee_Cost_to_Company,Hourly_Rate,Annual_HR_Feedback_Satisfaction_Score,Yearly_Total_Training_Hours
1001,Employee_1,Male,58,2020-07-04,6,113425,1361100,Finance,Assistant,Lead,Full-time,HQ,Punjab,City_2,11,Postgraduate,Engineering,Muslim,Married,A*,Solid Contributor,No,N/A,N/A,Rejected,2,Very High,2114478,795,4,63
1002,Employee_2,Female,36,2023-08-13,1,111676,1340112,Customer Support,Executive,Senior,Full-time,HQ,Gujarat,City_19,19,High School,Commerce,Jain,Married,A,Contributor,No,N/A,N/A,Accepted,9,Very High,2405153,417,4,68
1003,Employee_3,Female,33,2023-06-24,2,102506,1230072,Customer Support,Specialist,Mid-Level,Full-time,HQ,Punjab,City_48,9,High School,Engineering,Hindu,Single,A+,Developer,No,N/A,N/A,Pending,10,Low,597345,413,2,61
1004,Employee_4,Male,36,2020-02-28,8,101477,1217724,Operations,Supervisor,Lead,Full-time,HQ,Tamil Nadu,City_10,37,Diploma,Arts,Jain,Married,A+,Future Star,No,N/A,N/A,Pending,2,Very High,1901541,657,4,187
1005,Employee_5,Male,55,2024-07-03,8,148594,1783128,HR,Supervisor,Senior,Full-time,HQ,Madhya Pradesh,City_33,10,Postgraduate,Arts,Buddhist,Single,A*,Reliable Professional,No,N/A,N/A,Pending,9,Very High,1246554,249,2,45
1006,Employee_6,Male,27,2023-01-04,6,114564,1374768,Sales,Analyst,Junior,Full-time,HQ,Tamil Nadu,City_3,9,Graduate,Management,Christian,Single,A,High Impact,No,N/A,N/A,Rejected,12,Very High,1549119,307,1,12
1007,Employee_7,Male,38,2020-01-10,3,53452,641424,Finance,Analyst,Mid-Level,Full-time,HQ,Rajasthan,City_3,33,PhD,Arts,Hindu,Single,A,Learner,No,N/A,N/A,Pending,11,Medium,1845681,940,1,124
1008,Employee_8,Female,41,2023-04-23,2,107962,1295544,Marketing,Supervisor,Junior,Full-time,HQ,Rajasthan,City_16,13,PhD,Commerce,Jain,Married,B,Developer,No,N/A,N/A,Rolled out,5,High,2403812,812,2,117
1009,Employee_9,Male,30,2024-01-03,6,23268,279216,Sales,Technician,Junior,Contract,Remote,Tamil Nadu,City_5,20,High School,Engineering,Muslim,Single,A+,Future Star,No,N/A,N/A,Pending,1,Medium,695325,976,3,53
1010,Employee_10,Female,26,2024-07-19,1,100729,1208748,Supply Chain,Specialist,Lead,Part-time,Remote,Tamil Nadu,City_18,44,Diploma,Engineering,Other,Divorced,A,Actionable,Yes,Superannuation,2023-06-15,Pending,4,Low,2349590,535,3,53
1011,Employee_11,Male,44,2021-03-18,6,113602,1363224,HR,Manager,Junior,Full-time,HQ,Punjab,City_18,11,PhD,Management,Christian,Single,A*,Learner,Yes,Termination – Non Performance,2022-07-27,Rolled out,10,High,2004853,781,4,37
1012,Employee_12,Female,54,2021-08-07,9,20658,247896,Sales,Specialist,Junior,Full-time,Remote,West Bengal,City_5,41,High School,Engineering,Hindu,Single,A*,Reliable Professional,No,N/A,N/A,Rejected,4,Low,1799335,602,4,165
1013,Employee_13,Female,59,2021-11-04,7,54064,648768,Customer Support,Coordinator,Senior,Full-time,Remote,Rajasthan,City_19,29,Diploma,Engineering,Other,Married,A,Contributor,No,N/A,N/A,Rejected,9,Very High,1931342,797,2,163
